labelKey |English Label|Bengali Label|Hindi Label|French Label|German Label
content_roleList_label|Role List | ভূমিকা তালিকা | भूमिका सूची | Liste de rôles | Rollenliste
content_roleForm_label|Role Form |  ভূমিকা ফর্ম |  भूमिका प्रपत्र |  Formulaire de rôles |  Rollenformular
content_roleReportList_label|Role Report List |  ভূমিকা প্রতিবেদন তালিকা |  भूमिका रिपोर्ट सूची |  Liste de rapports de rôles |  Rollenberichtsliste
content_role_name_label|Name |  নাম |  नाम |  Nom |  Name
content_role_description_label|Description |  বিবরণ |  विवरण |  Description |  Beschreibung

content_userList_label|User List | ব্যবহারকারীর তালিকা | उपयोगकर्ता सूची | Liste d'utilisateurs | Benutzerliste
content_userForm_label|User Form |  ব্যবহারকারীর ফর্ম |  उपयोगकर्ता प्रपत्र |  Formulaire d'utilisateur |  Benutzerformular
content_userReportList_label|User Report List |  ব্যবহারকারী রিপোর্ট তালিকা |  उपयोगकर्ता रिपोर्ट सूची |  Liste de rapports d'utilisateurs |  Benutzerberichtsliste
content_user_fullName_label|Full Name |  পুরো নাম |  पूरा नाम |  Nom complet |  Vollständiger Name
content_user_email_label|Email |  ইমেল |  ईमेल |  Adresse électronique |  E-Mail
content_user_password_label|Password |  পাসওয়ার্ড |  पासवर्ड |  Mot de passe |  Passwort
content_user_confirmPassword_label|Confirm Password |  পাসওয়ার্ডের নিশ্চিতকরণ |  पासवर्ड की पुष्टि करें |  Confirmer le mot de passe |  Passwort bestätigen
content_user_roleId_label|Role Id |  রোল আইডি |  रोल आईडी |  ID de rôle |  Rollen-ID
content_user_companyProfile_label|Company Profile |  কোম্পানির প্রোফাইল |  कंपनी प्रोफाइल |  Profil de l'entreprise |  Firmenprofil
content_user_mobileNumber_label|Mobile Number |  মোবাইল নম্বর |  मोबाइल नंबर |  Numéro de téléphone portable |  Handynummer

content_userPreferenceList_label|User Preference List | ব্যবহারকারীর পছন্দের তালিকা | उपयोगकर्ता वरीयता सूची | Liste des préférences utilisateur | Benutzereinstellungsliste
content_userPreferenceForm_label|User Preference Form |  ব্যবহারকারীর পছন্দের ফর্ম |  उपयोगकर्ता वरीयता प्रपत्र |  Formulaire des préférences utilisateur |  Benutzereinstellungsformular
content_userPreferenceReportList_label|User Preference Report List |  ব্যবহারকারীর পছন্দের রিপোর্টের তালিকা |  उपयोगकर्ता वरीयता रिपोर्ट सूची |  Liste des rapports sur les préférences utilisateur |  Benutzereinstellungsberichtsliste
content_userPreference_applicationTitle_label|Application Title |  অ্যাপ্লিকেশন শিরোনাম |  आवेदन शीर्षक |  Titre de l'application |  Anwendungstitel
content_userPreference_metaTags_label|Meta Tags |  মেটা ট্যাগস |  मेटा टैग |  Balises méta |  Meta-Tags
content_userPreference_userId_label|User Id |  ব্যবহারকারীর আইডি |  उपयोगकर्ता आईडी |  Identifiant de l'utilisateur |  Benutzer-ID
content_userPreference_activeCompanyId_label|Active Company Id |  অ্যাক্টিভ কোম্পানির আইডি |  सक्रिय कंपनी आईडी |  Identifiant de l'entreprise active |  Aktive Firmen-ID
content_userPreference_language_label|Language |  ভাষা |  भाषा |  Langue |  Sprache
content_userPreference_activeRole_label|Active Role |  অ্যাক্টিভ রোল |  सक्रिय भूमिका |  Rôle actif |  Aktive Rolle
content_userPreference_showNotification_label|Show Notification |  নোটিফিকেশন দেখাও |  अधिसूचना दिखाएँ |  Afficher la notification |  Benachrichtigung anzeigen
content_userPreference_showEmail_label|Show Email |  ইমেল দেখান টাস্ক দেখান |  शो ईमेल |  Afficher le courrier électronique |  E-Mail anzeigen
content_userPreference_showTask_label|Show Task | User Preference List |  दिखाएँ कार्य दिखाएँ।User Preference List |  Afficher la tâche |  Aufgabe anzeigen

content_companyProfileList_label|Company Profile List | কোম্পানির প্রোফাইল তালিকা | कंपनी प्रोफाइल सूची | Liste de profil de société | Firmenprofil-Liste
content_companyProfileForm_label|Company Profile Form |  কোম্পানির প্রোফাইল ফর্ম |  कंपनी प्रोफाइल फॉर्म |  Formulaire de profil de société |  Firmenprofil-Formular
content_companyProfileReportList_label|Company Profile Report List |  কোম্পানির প্রোফাইল প্রতিবেদনের তালিকা |  कंपनी प्रोफाइल रिपोर्ट सूची |  Liste de rapport de profil de société |  Firmenprofil-Berichtsliste
content_companyProfile_userId_label|User Id |  ব্যবহারকারীর আইডি |  उपयोगकर्ता आईडी |  Identifiant d'utilisateur Nom Adresse Date d'établissement Adresse électronique Nom de l'auteur |  Benutzer-ID
content_companyProfile_name_label|Name |  নাম |  नाम | Company Profile List |  Name
content_companyProfile_address_label|Address |  ঠিকানা |  पता | Company Profile Form |  Adresse
content_companyProfile_establishedDate_label|Established Date |  প্রতিষ্ঠিত তারিখ |  स्थापना तिथि | Company Profile Report List |  Gründungsdatum
content_companyProfile_email_label|Email |  ইমেল |  ईमेल | User Id |  E-Mail
content_companyProfile_authorName_label|Author Name |  লেখকের নাম |  लेखक का नाम | Name |  Autorenname

content_branchList_label|Branch List | শাখার তালিকা | शाखा सूची | Liste de succursales | Branchenliste
content_branchForm_label|Branch Form |  শাখা ফর্ম |  शाखा प्रपत्र |  Formulaire de succursale |  Branchenformular
content_branchReportList_label|Branch Report List |  শাখা রিপোর্ট তালিকা |  शाखा रिपोर्ट सूची |  Liste de rapports de succursale |  Branchenberichtsliste
content_branch_companyProfileId_label|Company Profile Id |  কোম্পানির প্রোফাইল আইডি |  कंपनी प्रोफाइल आईडी |  Identifiant du profil d’entreprise Nom Adresse Date d’établissement |  Firmenprofil-ID
content_branch_name_label|Name |  নাম |  नाम | Branch List |  Name
content_branch_address_label|Address |  ঠিকানা |  पता | Branch Form |  Adresse
content_branch_establishedDate_label|Established Date |  প্রতিষ্ঠিত তারিখ |  स्थापना तिथि | Branch Report List |  Gründungsdatum

content_departmentList_label|Department List | বিভাগের তালিকা | विभाग सूची | Liste de départements | Abteilungsliste
content_departmentForm_label|Department Form |  বিভাগের ফর্ম |  विभाग प्रपत्र |  Formulaire de départements |  Abteilungsformular
content_departmentReportList_label|Department Report List |  বিভাগের রিপোর্টের তালিকা |  विभाग रिपोर्ट सूची |  Liste de rapports de départements |  Abteilungsberichtsliste
content_department_branchId_label|Branch Id |  শাখার আইডি |  शाखा आईडी |  Identifiant de la succursale |  Filial-ID
content_department_name_label|Name |  নাম |  नाम |  Nom |  Name
content_department_shortCode_label|Short Code |  সংক্ষিপ্ত কোড |  संक्षिप्त कोड |  Code abrégé |  Funktionscode
content_department_description_label|Description |  বিবরণ |  विवरण |  Description |  Beschreibung

content_jobPositionList_label|Job Position List | কাজের অবস্থানের তালিকা | नौकरी की स्थिति की सूची | Liste des postes à pourvoir Formulaire de poste à pourvoir Liste des rapports sur les postes à pourvoir Identifiant du service Nom du poste Code abrégé Description Actif | Job-Positionsliste
content_jobPositionForm_label|Job Position Form |  চাকরির অবস্থানের ফর্ম |  नौकरी की स्थिति का प्रारूप | Job Position List |  Job-Positionsformular
content_jobPositionReportList_label|Job Position Report List |  চাকরির পজিশনের রিপোর্টের তালিকা |  नौकरी की स्थिति की रिपोर्ट सूची | Job Position Form |  Job-Positionsberichtsliste
content_jobPosition_departmentId_label|Department Id |  বিভাগের আইডি |  विभाग की आईडी | Job Position Report List |  Abteilungs-ID
content_jobPosition_positionName_label|Position Name |  পদের নাম |  स्थिति का नाम | Department Id |  Positionsname
content_jobPosition_shortCode_label|Short Code |  সংক্ষিপ্ত কোড |  संक्षिप्त कोड | Position Name |  Funktionscode
content_jobPosition_description_label|Description |  বর্ণনা |  विवरण | Short Code |  Beschreibung
content_jobPosition_isActive_label|Is Active |  সক্রিয় |  सक्रिय | Description |  Ist aktiv

content_jobPostingList_label|Job Posting List | চাকরির পোস্টিং তালিকা | जॉब पोस्टिंग लिस्ट | Liste des offres d'emploi | Stellenausschreibungsliste
content_jobPostingForm_label|Job Posting Form |  চাকরির পোস্টিং ফর্ম |  जॉब पोस्टिंग फॉर्म |  Formulaire d'affichage des emplois |  Stellenausschreibungsformular
content_jobPostingReportList_label|Job Posting Report List |  চাকরির পোস্টিং রিপোর্টের তালিকা |  जॉब पोस्टिंग रिपोर्ट लिस्ट |  Liste des rapports d'affichage des offres d'emploi |  Stellenausschreibungsberichtsliste
content_jobPosting_positionName_label|Position Name |  পদের নাম |  पोजीशन का नाम |  Nom du poste |  Positionsname
content_jobPosting_shortCode_label|Short Code |  সংক্ষিপ্ত কোড |  शॉर्ट कोड |  Code abrégé |  Funktionscode
content_jobPosting_description_label|Description |  বিবরণ |  विवरण |  Description |  Beschreibung
content_jobPosting_jobPositionId_label|Job Position Id |  চাকরির পজিশনের আইডি |  जॉब पोजिशन |  Identifiant du poste Date d'affichage Date d'expiration |  Stellenpositions-ID
content_jobPosting_postingDate_label|Posting Date |  পোস্টের তারিখ |  पोस्टिंग की तारीख | Job Posting List |  Buchungsdatum
content_jobPosting_expireDate_label|Expire Date |  মেয়াদ শেষ হওয়ার তারিখ |  समाप्ति तिथि | Job Posting Form |  Ablaufdatum

content_jobApplicationList_label|Job Application List | চাকরীর আবেদনের তালিকা | नौकरी आवेदन सूची नौकरी आवेदन पत्र नौकरी आवेदन रिपोर्ट सूची नौकरी की स्थिति आईडी | Liste des candidatures formulaire de candidature liste des rapports de candidature identifiant du poste prénom nom de famille numéro de téléphone du candidat adresse électronique salaire attendu message compétences adresse du fichier de repriseJob Application List | Liste der Bewerbungen
content_jobApplicationForm_label|Job Application Form |  চাকরীর আবেদনের ফর্ম |  पहला नाम | Job Application Form |  Bewerbungsformular
content_jobApplicationReportList_label|Job Application Report List |  চাকরীর আবেদনের রিপোর্টের তালিকা |  अंतिम नाम | Job Application Report List |  Liste der Bewerbungsberichte
content_jobApplication_jobPositionId_label|Job Position Id |  চাকরির পজিশনের আইডি |  आवेदक फोन नंबर | Job Position Id |  ID der Position
content_jobApplication_firstName_label|First Name |  প্রথম নাম |  ईमेल | First Name |  Vorname
content_jobApplication_lastName_label|Last Name |  শেষ নাম |  अपेक्षित वेतन | Last Name |  Nachname
content_jobApplication_applicantPhoneNo_label|Applicant Phone No |  আবেদনকারী ফোন নম্বর |  संदेश | Applicant Phone No |  Telefonnummer des Bewerbers
content_jobApplication_email_label|Email |  ইমেল |  कौशल | Email |  E-Mail-Adresse
content_jobApplication_expectedSalary_label|Expected Salary |  প্রত্যাশিত বেতন |  फिर से शुरू फ़ाइल पता।Job Application List | Expected Salary |  Gehaltsvorstellung
content_jobApplication_message_label|Message |  বার্তা | Job Application Form | Message |  Nachricht
content_jobApplication_skills_label|Skills |  দক্ষতা | Job Application Report List | Skills |  Fähigkeiten
content_jobApplication_resumeFileAddress_label|Resume File Address |  ফাইলের ঠিকানা পুনরায় শুরু করুন | Job Position Id | Resume File Address |  Adresse der Bewerbungsdatei

content_applicantInfoList_label|Applicant Info List | আবেদনকারীর তথ্য তালিকা | आवेदक की जानकारी की सूची | Informations sur le candidat | Bewerberinfo-Liste
content_applicantInfoForm_label|Applicant Info Form |  আবেদনকারীর তথ্য ফর্ম |  आवेदक की जानकारी का प्रारूप |  Formulaire d'informations sur le demandeur |  Bewerberinfo-Formular
content_applicantInfoReportList_label|Applicant Info Report List |  আবেদনকারীর তথ্য প্রতিবেদন তালিকা |  आवेदक की सूचना रिपोर्ट |  Liste de rapports d'informations sur le candidat Applicant Info List |  Bewerberinfo-Berichtsliste
content_applicantInfo_jobApplicationId_label|Job Application Id |  চাকরির আবেদন আইডি |  नौकरी का आवेदन क्रमांक | Applicant Info Form |  Bewerbungs-ID
content_applicantInfo_enrollmentId_label|Enrollment Id |  তালিকাভুক্তি আইডি |  नामांकन क्रमांक | Applicant Info Report List |  Einschreibungs-ID
content_applicantInfo_firstName_label|First Name |  প্রথম নাম |  प्रथम नाम | Job Application Id |  Vorname
content_applicantInfo_lastName_label|Last Name |  শেষ নাম |  अंतिम नाम | Enrollment Id |  Nachname
content_applicantInfo_fatherName_label|Father Name |  পিতার নাম |  पिता का नाम | First Name |  Name des Vaters
content_applicantInfo_motherName_label|Mother Name |  মাতার নাম |  माता का नाम | Last Name |  Name der Mutter
content_applicantInfo_spouseName_label|Spouse Name |  স্ত্রীর নাম |  पति का नाम | Father Name |  Name des Ehepartners
content_applicantInfo_nationality_label|Nationality |  জাতীয়তা |  राष्ट्रीयता | Mother Name |  Nationalität
content_applicantInfo_gender_label|Gender |  লিঙ্গ |  लिंग | Spouse Name |  Geschlecht
content_applicantInfo_age_label|Age |  বয়স |  आयु | Nationality |  Alter
content_applicantInfo_profilePic_label|Profile Pic |  প্রোফাইল পিক |  प्रोफाइल पिक | Gender |  Profilfoto
